tick,entity_id,role,predicted_arrival_s,actual_arrival_s,completion_s,turnaround_s,action
80,0,player,4.000000,69.421064,69.421119,0.000055,Strike
81,1,player,4.000000,69.421064,69.471325,0.050261,Strike
82,2,player,4.000000,69.421064,69.521496,0.100432,Strike
83,3,player,4.000000,69.421064,69.571652,0.150588,Strike
100,8,enemy,5.000000,70.424062,70.424095,0.000033,Strike
108,10,enemy,5.357143,70.824925,70.824956,0.000031,Strike
112,7,enemy,5.555556,71.025368,71.025401,0.000033,Strike
116,6,enemy,5.769231,71.226015,71.226046,0.000031,Strike
126,9,enemy,6.250000,71.727362,71.727408,0.000046,Strike
131,5,enemy,6.521739,71.978172,71.978208,0.000036,Strike
161,1,player,4.000000,73.481965,73.482001,0.000036,Strike
162,2,player,4.000000,73.532109,73.532132,0.000023,Strike
163,3,player,4.000000,73.619296,73.619328,0.000032,Strike
200,8,enemy,5.000000,75.473666,75.473728,0.000062,Strike
216,10,enemy,5.357143,76.275541,76.275575,0.000034,Strike
224,7,enemy,5.555556,76.676477,76.676510,0.000034,Strike
232,6,enemy,5.769231,77.077328,77.077361,0.000033,Strike
241,1,player,4.000000,77.528295,77.528330,0.000035,Strike
242,2,player,4.000000,77.578430,77.578447,0.000017,Strike
243,3,player,4.000000,77.628543,77.628562,0.000019,Strike
252,9,enemy,6.250000,78.079692,78.079745,0.000054,Strike
262,5,enemy,6.521739,78.580827,78.580863,0.000036,Strike
278,0,player,4.000000,79.382599,79.382637,0.000038,Strike
300,8,enemy,5.000000,80.485180,80.485219,0.000039,Strike
321,1,player,4.000000,81.537972,81.538002,0.000029,Strike
322,2,player,4.000000,81.588194,81.588232,0.000039,Strike
323,3,player,4.000000,81.638411,81.638447,0.000037,Strike
324,10,enemy,5.357143,81.688560,81.688591,0.000031,Strike
336,7,enemy,5.555556,82.290491,82.290522,0.000031,Strike
348,6,enemy,5.769231,82.891908,82.891942,0.000033,Strike
378,9,enemy,6.250000,84.396090,84.396132,0.000043,Strike
393,5,enemy,6.521739,85.147945,85.147975,0.000029,Strike
